angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,3.225600000000000134e-01
-5.500000000000000000e+01,1.800000000000000000e+02,3.673699999999999743e-01
-5.000000000000000000e+01,1.800000000000000000e+02,4.094700000000000006e-01
-4.500000000000000000e+01,1.800000000000000000e+02,4.464099999999999180e-01
-4.000000000000000000e+01,1.800000000000000000e+02,4.776600000000000290e-01
-3.500000000000000000e+01,1.800000000000000000e+02,5.049799999999999844e-01
-3.000000000000000000e+01,1.800000000000000000e+02,5.271599999999999620e-01
-2.500000000000000000e+01,1.800000000000000000e+02,5.449199999999999600e-01
-2.000000000000000000e+01,1.800000000000000000e+02,5.594200000000001394e-01
-1.500000000000000000e+01,1.800000000000000000e+02,5.702800000000000091e-01
-1.000000000000000000e+01,1.800000000000000000e+02,5.785200000000000342e-01
-5.000000000000000000e+00,1.800000000000000000e+02,5.834099999999999842e-01
0.000000000000000000e+00,1.800000000000000000e+02,5.846999999999999975e-01
5.000000000000000000e+00,1.800000000000000000e+02,5.831699999999999662e-01
1.000000000000000000e+01,1.800000000000000000e+02,5.789499999999999647e-01
1.500000000000000000e+01,1.800000000000000000e+02,5.706099999999999506e-01
2.000000000000000000e+01,1.800000000000000000e+02,5.609199999999999742e-01
2.500000000000000000e+01,1.800000000000000000e+02,5.451399999999999579e-01
3.000000000000000000e+01,1.800000000000000000e+02,5.272999999999999909e-01
3.500000000000000000e+01,1.800000000000000000e+02,5.046300000000000230e-01
4.000000000000000000e+01,1.800000000000000000e+02,4.786799999999999944e-01
4.500000000000000000e+01,1.800000000000000000e+02,4.452699999999999991e-01
5.000000000000000000e+01,1.800000000000000000e+02,4.100400000000000156e-01
5.500000000000000000e+01,1.800000000000000000e+02,3.695800000000000196e-01
6.000000000000000000e+01,1.800000000000000000e+02,3.241600000000000592e-01
