angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,4.177742143410514974e-01
-5.500000000000000000e+01,1.800000000000000000e+02,4.455485010249108369e-01
-5.000000000000000000e+01,1.800000000000000000e+02,4.736613462058227864e-01
-4.500000000000000000e+01,1.800000000000000000e+02,5.066847348385390415e-01
-4.000000000000000000e+01,1.800000000000000000e+02,5.417852024389512300e-01
-3.500000000000000000e+01,1.800000000000000000e+02,5.724336997999877052e-01
-3.000000000000000000e+01,1.800000000000000000e+02,5.986257190689379115e-01
-2.500000000000000000e+01,1.800000000000000000e+02,6.205094184733436213e-01
-2.000000000000000000e+01,1.800000000000000000e+02,6.370082818454561036e-01
-1.500000000000000000e+01,1.800000000000000000e+02,6.516106345118153342e-01
-1.000000000000000000e+01,1.800000000000000000e+02,6.603708726883511515e-01
-5.000000000000000000e+00,1.800000000000000000e+02,6.661779114458330486e-01
0.000000000000000000e+00,1.800000000000000000e+02,6.695922832826670668e-01
5.000000000000000000e+00,1.800000000000000000e+02,6.681890586665364395e-01
1.000000000000000000e+01,1.800000000000000000e+02,6.598211526249256886e-01
1.500000000000000000e+01,1.800000000000000000e+02,6.528026864052396405e-01
2.000000000000000000e+01,1.800000000000000000e+02,6.306328973433368290e-01
2.500000000000000000e+01,1.800000000000000000e+02,6.175870147232948026e-01
3.000000000000000000e+01,1.800000000000000000e+02,5.952184039759452761e-01
3.500000000000000000e+01,1.800000000000000000e+02,5.724336997999877052e-01
4.000000000000000000e+01,1.800000000000000000e+02,5.400942875439957991e-01
4.500000000000000000e+01,1.800000000000000000e+02,5.145982998913406492e-01
5.000000000000000000e+01,1.800000000000000000e+02,4.809783340274778607e-01
5.500000000000000000e+01,1.800000000000000000e+02,4.498812844117574539e-01
6.000000000000000000e+01,1.800000000000000000e+02,4.192242924817715100e-01
