angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,2.619299999999999962e-01
-5.500000000000000000e+01,1.800000000000000000e+02,3.023899999999999921e-01
-5.000000000000000000e+01,1.800000000000000000e+02,3.423900000000000277e-01
-4.500000000000000000e+01,1.800000000000000000e+02,3.801099999999998924e-01
-4.000000000000000000e+01,1.800000000000000000e+02,4.136700000000000377e-01
-3.500000000000000000e+01,1.800000000000000000e+02,4.429799999999999294e-01
-3.000000000000000000e+01,1.800000000000000000e+02,4.668300000000000227e-01
-2.500000000000000000e+01,1.800000000000000000e+02,4.859600000000000031e-01
-2.000000000000000000e+01,1.800000000000000000e+02,5.013200000000000989e-01
-1.500000000000000000e+01,1.800000000000000000e+02,5.131999999999999895e-01
-1.000000000000000000e+01,1.800000000000000000e+02,5.218599999999999905e-01
-5.000000000000000000e+00,1.800000000000000000e+02,5.271000000000000130e-01
0.000000000000000000e+00,1.800000000000000000e+02,5.287899999999999823e-01
5.000000000000000000e+00,1.800000000000000000e+02,5.272200000000000220e-01
1.000000000000000000e+01,1.800000000000000000e+02,5.221900000000000430e-01
1.500000000000000000e+01,1.800000000000000000e+02,5.137500000000000400e-01
2.000000000000000000e+01,1.800000000000000000e+02,5.015899999999999803e-01
2.500000000000000000e+01,1.800000000000000000e+02,4.855999999999999761e-01
3.000000000000000000e+01,1.800000000000000000e+02,4.662600000000000078e-01
3.500000000000000000e+01,1.800000000000000000e+02,4.426299999999999679e-01
4.000000000000000000e+01,1.800000000000000000e+02,4.142899999999999916e-01
4.500000000000000000e+01,1.800000000000000000e+02,3.809699999999999753e-01
5.000000000000000000e+01,1.800000000000000000e+02,3.449499999999999789e-01
5.500000000000000000e+01,1.800000000000000000e+02,3.058400000000000007e-01
6.000000000000000000e+01,1.800000000000000000e+02,2.639600000000000279e-01
