wavelength,total_nadir,ps1_nadir,ps2_nadir,total_vza-60,total_vza-55,total_vza-50,total_vza-45,total_vza-40,total_vza-35,total_vza-30,total_vza-25,total_vza-20,total_vza-15,total_vza-10,total_vza-5,total_vza0,total_vza5,total_vza10,total_vza15,total_vza20,total_vza25,total_vza30,total_vza35,total_vza40,total_vza45,total_vza50,total_vza55,total_vza60
640.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
641.00000000,0.00001980,0.00000000,0.00001980,0.00003420,0.00003226,0.00003044,0.00002878,0.00002740,0.00002633,0.00002579,0.00002640,0.00003805,0.00002437,0.00002196,0.00002066,0.00001980,0.00001917,0.00001872,0.00001842,0.00001826,0.00001822,0.00001830,0.00001850,0.00001886,0.00001937,0.00002002,0.00002079,0.00002177
642.00000000,0.00011784,0.00000000,0.00011784,0.00020357,0.00019205,0.00018120,0.00017136,0.00016313,0.00015676,0.00015353,0.00015719,0.00022666,0.00014511,0.00013073,0.00012301,0.00011784,0.00011411,0.00011144,0.00010960,0.00010864,0.00010839,0.00010886,0.00011002,0.00011217,0.00011519,0.00011899,0.00012354,0.00012931
643.00000000,0.00035050,0.00000000,0.00035050,0.00060546,0.00057124,0.00053900,0.00050976,0.00048527,0.00046634,0.00045674,0.00046766,0.00067455,0.00043169,0.00038888,0.00036589,0.00035050,0.00033937,0.00033140,0.00032590,0.00032303,0.00032223,0.00032358,0.00032697,0.00033329,0.00034215,0.00035332,0.00036668,0.00038365
644.00000000,0.00113893,0.00000000,0.00113893,0.00196733,0.00185628,0.00175162,0.00165665,0.00157709,0.00151562,0.00148444,0.00152004,0.00219321,0.00140305,0.00126381,0.00118900,0.00113893,0.00110268,0.00107670,0.00105873,0.00104930,0.00104657,0.00105077,0.00106157,0.00108183,0.00111027,0.00114613,0.00118900,0.00124346
645.00000000,0.00233422,0.00000000,0.00233422,0.00403190,0.00380463,0.00359032,0.00339578,0.00323277,0.00310683,0.00304299,0.00311615,0.00449767,0.00287621,0.00259050,0.00243701,0.00233422,0.00225978,0.00220637,0.00216936,0.00214979,0.00214391,0.00215215,0.00217383,0.00221478,0.00227234,0.00234492,0.00243163,0.00254178
646.00000000,0.00396474,0.00000000,0.00396474,0.00684803,0.00646257,0.00609889,0.00576863,0.00549183,0.00527800,0.00516966,0.00529425,0.00764382,0.00488643,0.00440061,0.00413959,0.00396474,0.00383805,0.00374706,0.00368388,0.00365026,0.00363979,0.00365317,0.00368924,0.00375784,0.00385438,0.00397611,0.00412146,0.00430611
647.00000000,0.00598357,0.00000000,0.00598357,0.01033456,0.00975365,0.00920526,0.00870712,0.00828950,0.00796689,0.00780352,0.00799201,0.01154227,0.00737614,0.00664217,0.00624781,0.00598357,0.00579200,0.00565429,0.00555848,0.00550718,0.00549067,0.00550999,0.00556332,0.00566544,0.00580935,0.00599080,0.00620733,0.00648242
648.00000000,0.00842440,0.00000000,0.00842440,0.01454955,0.01373278,0.01296135,0.01226039,0.01167259,0.01121851,0.01098869,0.01125469,0.01625880,0.01038707,0.00935270,0.00879691,0.00842440,0.00815420,0.00795979,0.00782429,0.00775131,0.00772712,0.00775312,0.00782673,0.00796862,0.00816882,0.00842123,0.00872226,0.00910474
649.00000000,0.01126980,0.00000000,0.01126980,0.01946274,0.01837147,0.01734029,0.01640307,0.01561695,0.01500968,0.01470246,0.01505903,0.02175990,0.01389777,0.01251286,0.01176868,0.01126980,0.01090777,0.01064708,0.01046508,0.01036654,0.01033306,0.01036640,0.01046310,0.01065062,0.01091553,0.01124952,0.01164762,0.01215344
650.00000000,0.01450257,0.00000000,0.01450257,0.02504433,0.02364166,0.02231567,0.02111019,0.02009885,0.01931760,0.01892253,0.01938223,0.02801287,0.01788717,0.01610364,0.01514522,0.01450257,0.01403604,0.01369983,0.01346478,0.01333690,0.01329248,0.01333368,0.01345600,0.01369460,0.01403204,0.01445745,0.01496427,0.01560824
651.00000000,0.01834448,0.00019941,0.01814507,0.03167707,0.02990471,0.02822859,0.02670445,0.02542553,0.02443759,0.02393817,0.02452059,0.03544595,0.02262874,0.02037125,0.01915810,0.01834448,0.01775362,0.01732753,0.01702925,0.01686629,0.01680860,0.01685879,0.01701113,0.01730986,0.01773277,0.01826592,0.01890081,0.01970751
652.00000000,0.02261685,0.00040228,0.02221457,0.03905276,0.03686977,0.03480458,0.03292623,0.03134982,0.03013207,0.02951668,0.03023582,0.04371541,0.02790247,0.02511749,0.02362080,0.02261685,0.02188752,0.02136124,0.02099239,0.02079008,0.02071722,0.02077686,0.02096192,0.02132667,0.02184355,0.02249512,0.02327068,0.02425614
653.00000000,0.02708298,0.00041991,0.02666307,0.04676224,0.04415071,0.04167922,0.03943087,0.03754359,0.03608571,0.03534920,0.03621159,0.05236418,0.03341646,0.03007953,0.02828616,0.02708298,0.02620864,0.02557734,0.02513436,0.02489047,0.02480119,0.02487000,0.02508838,0.02552100,0.02613463,0.02690814,0.02782841,0.02899777
654.00000000,0.03190249,0.00038563,0.03151686,0.05508101,0.05200785,0.04909841,0.04645107,0.04422845,0.04251153,0.04164444,0.04266178,0.06170232,0.03936802,0.03543484,0.03332095,0.03190249,0.03087136,0.03012636,0.02960299,0.02931371,0.02920606,0.02928393,0.02953723,0.03004173,0.03075807,0.03166097,0.03273468,0.03409901
655.00000000,0.03707483,0.00037462,0.03670021,0.06400792,0.06044048,0.05706170,0.05398653,0.05140421,0.04940941,0.04840233,0.04958650,0.07173125,0.04575711,0.04118316,0.03872478,0.03707483,0.03587498,0.03500747,0.03439725,0.03405852,0.03393025,0.03401666,0.03430595,0.03488569,0.03570983,0.03674850,0.03798299,0.03955161
656.00000000,0.04261613,0.00037738,0.04223876,0.07357064,0.06947500,0.06559417,0.06206113,0.05909362,0.05680126,0.05564438,0.05700787,0.08248394,0.05260410,0.04734263,0.04451460,0.04261613,0.04123502,0.04023569,0.03953174,0.03913916,0.03898772,0.03908189,0.03940803,0.04006614,0.04100290,0.04218336,0.04358553,0.04536718
657.00000000,0.04801207,0.00045799,0.04755408,0.08288090,0.07827325,0.07390490,0.06992676,0.06658450,0.06400261,0.06270014,0.06423928,0.09296912,0.05927519,0.05334244,0.05015342,0.04801207,0.04645355,0.04532483,0.04452844,0.04408191,0.04390604,0.04400532,0.04436432,0.04509481,0.04613624,0.04744838,0.04900578,0.05098463
658.00000000,0.05326397,0.00056894,0.05269503,0.09194088,0.08683729,0.08199581,0.07758525,0.07387857,0.07101511,0.06957121,0.07128233,0.10318878,0.06577190,0.05918400,0.05564260,0.05326397,0.05153187,0.05027620,0.04938866,0.04888808,0.04868654,0.04878833,0.04917626,0.04997320,0.05111141,0.05254519,0.05424549,0.05640582
659.00000000,0.05890346,0.00069479,0.05820867,0.10166898,0.09603503,0.09068669,0.08581242,0.08171460,0.07854890,0.07695331,0.07885005,0.11417720,0.07275183,0.06545861,0.06153777,0.05890346,0.05698407,0.05559107,0.05460451,0.05404442,0.05381347,0.05391558,0.05433159,0.05519601,0.05643319,0.05799120,0.05983692,0.06218186
660.00000000,0.06627597,0.00080814,0.06546783,0.11438473,0.10805799,0.10204742,0.09656722,0.09195825,0.08839754,0.08660372,0.08874310,0.12854164,0.08187658,0.07366139,0.06924453,0.06627597,0.06411171,0.06253912,0.06142300,0.06078490,0.06051529,0.06061744,0.06106973,0.06202174,0.06338752,0.06510691,0.06714144,0.06972604
661.00000000,0.07394803,0.00094787,0.07300016,0.12761389,0.12057023,0.11387284,0.10776341,0.10262306,0.09865164,0.09665191,0.09904528,0.14351131,0.09137768,0.08220037,0.07726579,0.07394803,0.07152752,0.06976643,0.06851359,0.06779183,0.06747890,0.06757705,0.06806203,0.06909857,0.07058971,0.07246614,0.07468345,0.07749991
662.00000000,0.07991578,0.00113545,0.07878033,0.13790013,0.13030512,0.12307705,0.11648018,0.11092725,0.10663683,0.10447751,0.10707087,0.15519144,0.09877752,0.08884732,0.08350743,0.07991578,0.07729364,0.07538328,0.07402106,0.07323021,0.07287863,0.07296715,0.07346948,0.07456115,0.07613628,0.07811743,0.08045498,0.08342374
663.00000000,0.08873222,0.00138555,0.08734667,0.15309659,0.14468378,0.13666994,0.12935202,0.12318930,0.11842744,0.11603199,0.11891910,0.17242165,0.10970317,0.09866387,0.09272698,0.08873222,0.08581369,0.08368445,0.08216247,0.08127190,0.08086611,0.08094414,0.08147669,0.08265577,0.08436257,0.08650814,0.08903552,0.09224482
664.00000000,0.09954272,0.00173367,0.09780905,0.17172869,0.16231359,0.15333656,0.14513472,0.13822438,0.13288450,0.13019949,0.13344662,0.19354698,0.12309954,0.11070051,0.10403171,0.09954272,0.09626078,0.09386312,0.09214521,0.09113223,0.09065980,0.09072467,0.09129390,0.09257962,0.09444715,0.09679333,0.09955220,0.10305475
665.00000000,0.10967530,0.00212158,0.10755372,0.18918610,0.17883741,0.16896101,0.15993269,0.15232250,0.14644139,0.14348549,0.14707188,0.21337352,0.13566271,0.12198598,0.11462924,0.10967530,0.10605090,0.10339952,0.10149543,0.10036429,0.09982517,0.09987207,0.10046865,0.10184502,0.10385134,0.10637021,0.10932674,0.11307941
666.00000000,0.12299887,0.00253226,0.12046660,0.21214241,0.20056362,0.18950319,0.17938733,0.17085659,0.16426359,0.16095118,0.16498244,0.23942660,0.15217792,0.13682325,0.12856316,0.12299887,0.11892521,0.11594135,0.11379380,0.11250899,0.11188426,0.11191024,0.11254613,0.11404603,0.11624038,0.11899340,0.12221871,0.12631154
667.00000000,0.13462037,0.00295670,0.13166367,0.23215880,0.21951270,0.20742285,0.19636041,0.18702766,0.17981433,0.17619146,0.18061233,0.26217334,0.16658919,0.14976820,0.14071853,0.13462037,0.13015322,0.12687743,0.12451520,0.12309319,0.12238987,0.12239236,0.12305599,0.12465496,0.12700224,0.12994513,0.13338682,0.13775319
668.00000000,0.14796270,0.00340713,0.14455557,0.25513846,0.24126628,0.22799424,0.21584489,0.20559136,0.19766582,0.19368643,0.19855409,0.28828063,0.18313245,0.16462898,0.15467335,0.14796270,0.14304421,0.13943369,0.13682549,0.13524656,0.13445374,0.13443018,0.13512678,0.13684095,0.13936563,0.14252886,0.14622189,0.15090601
669.00000000,0.16428583,0.00388654,0.16039929,0.28325113,0.26787566,0.25315560,0.23967573,0.22829559,0.21949872,0.21508300,0.22049578,0.32019586,0.20336521,0.18280650,0.17174430,0.16428583,0.15881665,0.15479826,0.15189099,0.15012251,0.14922311,0.14917152,0.14991321,0.15177454,0.15452420,0.15796725,0.16198070,0.16707014
